seed,sigma,shape,method,mean_dev,adaptation,n_evade,min_dist,mean_energy,success
2,2.0,polyline,Vector Field,23.122930289783692,16.5,11,0.9997965025251521,0.1642765592002869,34.55149501661129
2,2.0,polyline,Nonlinear Stabilization,19.538089139764697,13.5,8,4.712441013898094,0.16289019881136343,40.53156146179402
2,2.0,polyline,Proposed AI,18.061673422696842,13.5,8,2.9120645622530095,0.1292225331822797,52.49169435215947
2,3.0,straight,Pure Pursuit,21.906195782267403,27.5,14,5.684043097658272,0.16226176285768343,34.55149501661129
2,3.0,straight,Line of Sight,18.596528339287403,15.5,11,0.8788155026899283,0.15257300633856558,42.524916943521596
2,3.0,straight,Vector Field,28.25537646794365,16.5,7,5.168209527522757,0.15052105493719137,28.57142857142857
2,3.0,straight,Nonlinear Stabilization,19.26212856286961,13.5,15,2.5355351879703427,0.16559272534189237,41.52823920265781
2,3.0,straight,Proposed AI,29.333324262850898,14.0,15,0.6893360463262539,0.15536601224881622,28.903654485049834
2,3.0,circle,Pure Pursuit,15.75358498071793,10.5,12,1.5935939015571172,0.16734340463714595,39.8671096345515
2,3.0,circle,Line of Sight,19.052337345221773,2.0,17,5.657249456790001,0.1578840565004187,37.2093023255814
2,3.0,circle,Vector Field,22.549775873103766,23.0,8,13.203070630864541,0.15110450648425483,40.53156146179402
2,3.0,circle,Nonlinear Stabilization,17.87874821618106,19.0,7,4.604415606100784,0.14764517701815438,50.16611295681063
2,3.0,circle,Proposed AI,22.216633564427475,20.0,7,12.592470834349209,0.14465043574833805,37.54152823920266
2,3.0,polyline,Pure Pursuit,18.605577239066236,21.5,11,5.495623509065222,0.15841891195330363,45.182724252491695
